Boku no Kuwagata,N/A,2001,,MTO,JP
Boku wa Koukuu Kanseikan(I am an Air Traffic Controller),N/A,2001 (JP),Graphic Research,Tamsoft,JP
Bomberman Jetters: Densetsu no Bomberman,Yes (SPM),2002,A.I.,Hudson Soft,JP
Bomberman Jetters: Game Collection,Yes (SPM),2002,Hudson Soft,Hudson Soft,JP
"Bomberman Max 2: Blue Advance NA, PAL• Bomberman Max 2: Bomberman Version JP",Yes (SPM),2002 (JP/NA)2003 (PAL),Hudson Soft,Hudson Soft JPMajesco Entertainment NASierra Entertainment PAL,"NA, JP, PAL"
"Bomberman Max 2: Red Advance NA, PAL• Bomberman Max 2: Max Version JP",Yes,2002 (JP/NA)2003 (PAL),Hudson Soft,Hudson Soft JPMajesco Entertainment NASierra Entertainment PAL,"NA, JP, PAL"
"Bomberman Tournament NA, PAL• Bomberman Story JP",Yes (SPM),2001,Amble,"Hudson Soft JPActivision NA, PAL","NA, JP, PAL"
Bookworm,N/A,2004,PopCap,Majesco Entertainment,NA
Bouken Yuuki Pluster World: Densetsu no Plust Gate,N/A,2003,Will,Takara,JP
Bouken Yuuki Pluster World: Densetsu no Plust Gate EX,N/A,2003,Will,Takara,JP
Bouken Yuuki Pluster World: Pluston GP,N/A,2003,Will,Takara,JP
Bouken-Ou Beet: Busters Road,N/A,2005,,Bandai,JP
Boukyaku no Senritsu: The Melody of Oblivion,N/A,2004,Alpha Unit,Bandai,JP
Boulder Dash EX,Yes (SPM),2002 (JP/NA)2003 (PAL),Vision Works,Kemco,"NA, JP, PAL"
Boxing Fever,Yes,2001 (NA)2002 (PAL),Digital Fiction,Majesco Entertainment NATHQ PAL,"NA, PAL"
Bratz,N/A,2003,DC Studios,Ubisoft,"NA, PAL"
Bratz Babyz,N/A,2006,Barking Lizards,THQ,"NA, PAL"
Bratz: Forever Diamondz,N/A,2006,Barking Lizards,THQ,"NA, PAL"
Bratz: Rock Angelz,No,2005,Altron,THQ,"NA, PAL"
Bratz: The Movie,N/A,2007,Disney Interactive Studios,THQ,NA
"Breath of Fire NA, PAL• Breath of Fire: Ryuu no Senshi JP",No,2001,Capcom,"CapcomJP, NAUbisoft PAL","NA, JP, PAL"
"Breath of Fire II NA, PAL• Breath of Fire II: Shimei no Ko JP",No,2001 (JP)2002 (NA/PAL),Capcom,"CapcomJP, NAUbisoft PAL","NA, JP, PAL"
Britney's Dance Beat,N/A,2002,Art,THQ,"NA, PAL"
"Broken Sword: The Shadow of the Templars NA, PAL• Broken Sword: Les Chevaliers de Baphomet FR",No,2002,Revolution Software,BAM! Entertainment,"NA, PAL"
Bruce Lee: Return of the Legend,No,2003,Vicarious Visions,VU Games NAUniversal Interactive PAL,"NA, PAL"
Bubble Bobble Old & New,"Yes (COOP, SPM)",2002 (JP)2003 (NA/PAL),Taito Corporation,"Media Kite JPEmpire Interactive NA, PAL","NA, JP, PAL"
"Buffy the Vampire Slayer: Wrath of the Darkhul King NA, PAL• Buffy Contre les Vampires: La Colère de Darkhul FR• Buffy im Bann der Daemonen: Koenig Darkhuls Zorn DE",N/A,2003,Natsume,THQ,"NA, PAL"
Butt-Ugly Martians: B.K.M. Battles,N/A,2002,Runecraft,VU Games,"NA, PAL"
Cabbage Patch Kids: The Patch Puppy Rescue,N/A,2006,1st Playable Productions,D3Publisher,"NA, PAL"
Cabela's Big Game Hunter,N/A,2002,ImageBuilder Software,Activision,NA
Cabela's Big Game Hunter 2005 Adventures,N/A,2004,Torus Games,Activision Value,"NA, PAL"
Caesars Palace Advance: Millennium Gold Edition,N/A,2001,,Majesco,NA
Calcio Bit,N/A,2006,ParityBit,Nintendo,JP
Camp Lazlo: Leaky Lake Games,N/A,2006,Collision Studios,Crave,"NA, PAL"
Candy Land / Chutes and Ladders / Original Memory Game,N/A,20052006,Black Lantern Studios,Destination Software,"NA, PAL"
Capcom Classics Mini-Mix Strider Bionic Commando Mighty Final Fight,N/A,2006,Digital Eclipse Software,Capcom,NA
Captain Tsubasa: Eikou no Kiseki(Captain Tsubasa: Road to Glory),N/A,2002,,Konami,JP
Car Battler Joe NA• Gekitou! Car Battler Go!! JP,N/A,2001 (JP)2002 (NA),Ancient,Victor Interactive Software JPNatsume NA,"NA, JP"
Cardcaptor Sakura: Sakura Card de Mini-Game,N/A,2003,Affect,TDK Core,JP
Cardcaptor Sakura: Sakura Card-hen - Sakura Card to Tomodachi,N/A,2004,,MTO,JP
Card Party,Yes (SPM),2002,NDcube,Media Kite,JP
"Care Bears: Care Quest NA, PAL• Les Bisounours: Mission Câlins FR",N/A,2005,Sirius Games,The Game Factory,"NA, PAL"
Carrera Power Slide,N/A,2003,Tiertex Design Studios,Stadlbauer,PAL
"Cars NA, PAL• Cars: Motori Ruggenti IT",Yes,2006,Helixe,THQ,"NA, JP, PAL"
