Title,Genre(s),Developer(s),Publisher(s),Release date,Ref.
Behind the Frame: The Finest Scenery,"Adventure, Puzzle",Silver Lining Studio,"Akupara Games, Akatsuki Taiwan",2022,
Behind The Screen,"Action, Puzzle, Adventure",18Light,Cosen,"August 23, 2018",
Behold the Kickmen,"Arcade, Sports",Size Five Games,Ant Workshop,"June 18, 2020",
Beholder: Complete Edition,"Adventure, Simulation, Strategy",Warm Lamp Games,Curve Digital,"December 6, 2018",
Beholder 2,"Adventure, Simulation, Strategy",Warm Lamp Games,Alawar Premium,"August 15, 2019",
Being Stronger While Playing! SilverStar Go DX,"Puzzle, Board game",Silver Star Japan,Silver Star,"June 25, 2020",
Ben 10,Adventure,Torus Games,Outright Games,"November 10, 2017",
Ben 10: Power Trip,Adventure,PHL Collective,Outright Games,"October 9, 2020",
Bendy and the Ink Machine,Survival horror,TheMeatly Games,Rooster Teeth Games,"November 20, 2018",
Best Day Ever,Adventure,ReRolled Studio,ReRolled Studio,"July 2, 2021",
Best Friend Forever,Simulation,Steve Jackson Games,Asmodee,"August 27, 2020",
Best Sniper Legacy: Dino Hunt & Shooter 3D,"Action, Adventure",T-Bull,T-Bull,"May 27, 2021",
Between Time: Escape Room,"Puzzle, Adventure",mc2games,mc2games,"September 15, 2021",
Beyblade Burst Battle Zero,Action,FuRyu,FuRyu,"October 25, 2018",
Beyond Blue,Adventure,E-Line Media,E-Line Media,TBA,
Beyond Enemy Lines: Covert Operations,First-person shooter,Polygon Art,Polygon Art,"April 23, 2019",
Beyond Enemy Lines: Essentials,Action,Polygon Art,Polygon Art,"March 19, 2020",
Beyond Enemy Lines: Remastered Edition,Action,Polygon Art,Polygon Art,"September 16, 2021",
Bezier: Second Edition,"Action, Arcade",Thalamus Digital Publishing,Thalamus Digital,"January 21, 2021",
Beyond a Steel Sky,Adventure,Revolution Software,Microids,"November 30, 2021",
BFF or Die,"Puzzle, Action, Arcade",2Awesome Studio,2Awesome Studio,"November 27, 2020",
Bibi & Tina at the Horse Farm,Simulation,Treva Entertainment,NA: Treva EntertainmentPAL: Markt & Technik,"October 10, 2019",
Big Bash Boom,"Arcade, Sports",Big Ant Studios,Big Ant Studios,"December 13, 2018",
Big Bobby Car: The Big Race,Racing,Independent Arts Software,Wild River,"September 24, 2020",
Big Brain Academy: Brain vs. Brain,"Party, Puzzle",Nintendo EPD,Nintendo,"December 3, 2021",
Big Buck Hunter Arcade,Simulation,Soma Sim,Kalypso Media,"October 16, 2018",
The Big Con,Adventure,Mighty Yell,Skybound Games,"June 1, 2022",
Big Crown: Showdown,"Action, Party, Fighting",Hyper Luminal Games,Sold Out,"January 10, 2019",
Big Dipper,Visual novel,Top Hat Studios,Top Hat Studios,"August 13, 2020",
The Big Journey,"Adventure, Platformer, Puzzle, Action",Konstructors Entertainment,Nestor Yavorskyy,"October 31, 2019",
Big Pharma,Puzzle,Nussoft,Klabater,"December 5, 2019",
Big Rumble Boxing: Creed Champions,Sports,Survios,Survios,"September 3, 2021",
Bike Rider DX,Platformer,Spicysoft,Spicysoft,"February 8, 2018",
Bilshana Senki: Genpei Hika Musou,Visual novel,Idea Factory,Idea Factory,"September 17, 2020",
Billy Bomber,Adventure,Jakub Lange,Ultimate Games,"October 15, 2019",
Billion Road,Board game,Acttil,Bandai Namco Entertainment,"November 29, 2018",
Binaries,Platformer,Ant Workshop,Ant Workshop,"September 28, 2017",
Binarystar Infinity,"Action, arcade",Ricci Cedric Design,Forever Entertainment,"February 4, 2021",
The Binding of Isaac: Afterbirth+,Roguelike,Nicalis,Nicalis,"March 17, 2017",
The Binding of Isaac: Rebirth,Roguelike,Nicalis,Pikii,"November 22, 2018",
The Binding of Isaac: Repentance,Roguelike,Nicalis,Nicalis,"November 4, 2021",
