Quest Braintainment,ThePharmacy,ThePharmacy,"September 10, 2010 (EU)",,,,
Satisfashion: Rock the Runway,TechFront,Destineer,"June 8, 2010 (NA)",,,,
SBI Group Kanshuu: Hajime You! Shisan Unyou DS,Game Republic,Broad Media,"April 17, 2008 (JP)",,,,
SBK: Snowboard Kids,Atlus,"Atlus, Rising Star Games","November 22, 2005 (NA)",,,,
Scene It? Twilight,Konami,Konami,"February 9, 2010 (NA)",,,,
Schach,DTP Entertainment,DTP Entertainment,"March 16, 2007 (PAL)",,,,
Science Papa,Activision,Activision,"July 15, 2009 (NA)",,,,
Scooby-Doo! and the Spooky Swamp,Torus Games,Warner Bros. Interactive Entertainment,"September 14, 2010 (NA)",,,,
Scooby-Doo! First Frights,Torus Games,Warner Bros. Interactive Entertainment,"September 22, 2009 (NA)",,,,
Scooby-Doo! Unmasked,THQ,THQ,"October 18, 2005 (NA)",,,,
Scooby-Doo! Who's Watching Who?,THQ,THQ,"October 16, 2006 (NA)",,,,
Scrabble 2007 Edition,Ubisoft,Ubisoft,"September 14, 2007 (PAL)",,,,
Scrabble 2009 Edition,Wizarbox,Ubisoft,"March 20, 2009 (NA)",,,,
Scrabble: Crossword Game,Stainless Games,Electronic Arts,"March 17, 2009 (NA)",,,,
Scribblenauts,5th Cell,Warner Bros. Interactive,"September 15, 2009 (NA)",,,,
Scripps Spelling Bee,THQ,THQ,"September 28, 2010 (NA)",,,,
Scurge: Hive,Orbital Media,SouthPeak Games,"November 1, 2006 (NA)",,,,
SD Gundam G Generation DS,Bandai,Bandai,"May 26, 2005 (JP)",,,,
SD Gundam G Generation: Cross Drive,Bandai Namco Games,Bandai Namco Games,"August 9, 2007 (JP)",,,,
SD Gundam Sangokuden Brave Battle Warriors: Shin Mirisha Taisen,Bandai Namco Games,Bandai Namco Games,"December 2, 2010 (JP)",,,,
Sea Monsters: A Prehistoric Adventure,Atomic Planet Entertainment,Destination Software,"October 19, 2007 (PAL)",,,,
Sea Park Tycoon,Most Wanted Entertainment,Destineer,"March 25, 2010 (NA)",,,,
Secret Files: Tunguska,"10tacle Studios, Fusionsphere Systems",Deep Silver,"May 23, 2008 (PAL)",,,,
Secret Files 2: Puritas Cordis,Fusionsphere Systems,Deep Silver,"May 8, 2009 (EU)",,,,
Secret Flirts,Smack Down Productions,Nobilis,"August 27, 2010 (EU)",,,,
The Secret Saturdays: Beasts of the 5th Sun,1st Playable Productions,D3 Publisher,"October 20, 2009 (NA)",,,,
Secret Story: Le Jeu Officiel de l'Emission,So Nice Productions,Anuman Interactive,"July 29, 2009 (EU)",,,,
Secrets of the Titanic,Avanquest Software,Avanquest Software,"April 13, 2009 (EU)",,,,
Sega Casino,Sega,Sega,"November 11, 2005 (NA)",,,,
Sega Superstars Tennis,Sumo Digital,Sega,"March 18, 2008 (NA)",,,,
Seitokai no Ichizon: DS-suru Seitokai,Kadokawa Games,Kadokawa Shoten,"March 25, 2010 (JP)",,,,
Sekai Fushigi Hakken DS: Densetsu no Hitoshi-kun Ningyou o Sagase,FuRyu,FuRyu,"August 6, 2009 (JP)",,,,
Sekai no Hate Made Itte Q! Chinjuu Hunter Imoto no Daibouken,Scarab Studio,Kamui,"May 27, 2010 (JP)",,,,
Sekai no Shogi,Success,Success,"October 25, 2007 (JP)",,,,
Sekaishi DS,IE Institute,IE Institute,"November 12, 2009 (JP)",,,,
Sengoku Spirits: Gunshiden,Tasuke,Tasuke,"March 18, 2010 (JP)",,,,
Sengoku Spirits: Moushouden,Tasuke,Tasuke,"March 18, 2010 (JP)",,,,
Sengoku Spirits: Shukunden,Tasuke,Tasuke,"March 18, 2010 (JP)",,,,
The Senkan,Tamsoft,D3Publisher,"August 9, 2007 (JP)",,,,
The Sensha,Vingt-et-un Systems,D3Publisher,"October 25, 2007 (JP)",,,,
Sesame Street: Cookie's Counting Carnival,Black Lantern Studios,Warner Bros. Interactive Entertainment,"October 19, 2010 (NA)",,,,
Sesame Street: Elmo's A-to-Zoo Adventure,Black Lantern Studios,Warner Bros. Interactive Entertainment,"October 19, 2010 (NA)",,,,
Sesame Street: Elmo's Musical Monsterpiece,Black Lantern Studios,Warner Bros. Interactive Entertainment,"July 15, 2012 (NA)",,,,
"Sesame Street: Ready, Set, Grover!",Griptonite Games,Warner Bros. Interactive Entertainment,"August 2, 2011 (NA)",,,,
Settlement: Colossus,Easy Interactive,Easy Interactive,"May 25, 2012 (EU)",,,,
The Settlers,Blue Byte,Ubisoft,"August 3, 2007 (NA)",,,,
Shakugan no Shana DS,MediaWorks,MediaWorks,"March 29, 2007 (JP)",,,,
Shamu's Deep Sea Adventures,Activision,Activision,"November 8, 2005 (NA)",,,,
Shanghai,Kouyousha,Success,"December 22, 2005 (JP)",,,,
Shanghai DS 2,SunSoft,SunSoft,"September 23, 2010 (JP)",,,,
Shaun the Sheep,Art,D3 Publisher,"September 23, 2008 (NA)",,,,
Shaun the Sheep: Off His Head,Art,D3 Publisher,"September 23, 2009 (NA)",,,,
Shaun White Snowboarding,Ubisoft Montreal,Ubisoft,"November 16, 2008 (NA)",,,,
Shawn Johnson Gymnastics,Zoo Games,Zoo Games,"November 30, 2010 (NA)",,,,
Shepherd's Crossing 2Hakoniwa Seikatsu: Hitsuji Mura DSJP,Success,"Success, Graffiti Entertainment","July 2, 2009 (JP)",,,,
Sherlock Holmes and the Mystery of Osborne House,Frogwares,THQ,"June 25, 2010 (NA)",,,,
Sherlock Holmes: The Mystery of the Mummy,Frogwares,"DreamCatcher Games, Focus Home Interactive","March 19, 2009 (PAL)",,,,
Shichida Shiki Training Unou Tanren Unotan DS: Otona no Sokudoku Training,HuneX,Interchannel,"April 19, 2007 (JP)",,,,
Shikaku Kentei DS,Land Ho!,Sega,"July 26, 2007 (JP)",,,,
"Shikakui Atama o Maru Kusuru: DS Joushiki, Nanmon no Shou",IE Institute,IE Institute,"September 28, 2006 (JP)",,,,
Shikakui Atama o Maru Kusuru: DS Keisan no Shou,IE Institute,IE Institute,"September 28, 2006 (JP)",,,,
Shikakui Atama wo Maruku Suru: DS Kanji no Shou,IE Institute,IE Institute,"September 28, 2006 (JP)",,,,
Shin Hisui no Shizuku: Hiiro no Kakera 2 DS,Idea Factory,Idea Factory,"June 16, 2011 (JP)",,,,
Shin Lucky * Star Moe Drill,Kadokawa,Kadokawa,"May 24, 2007 (JP)",,,,
Shin Megami Tensei: Devil Survivor,Atlus,Atlus,"January 15, 2009 (JP)",,,,
Shin Megami Tensei: Devil Survivor 2,Atlus,Atlus,"July 28, 2011 (JP)",,,,
Shin Megami Tensei: Strange Journey,Atlus,Atlus,"October 8, 2009 (JP)",,,,
Shin Noukyo Iku,Marvelous Entertainment,Marvelous Entertainment,"December 3, 2009 (JP)",,,,
Shin Seiki Evangelion: Ayanami Ikusei Keikaku with Asuka Hokan Keikaku,"BROCCOLI, Gainax",Gainax,"August 27, 2008 (JP)",,,,
Shining Force Feather,Flight-Plan,Sega,"February 19, 2009 (JP)",,,,
Shining Stars: Super Starcade,Frame Studios Interactive,"Destination Software, Zoo Digital Publishing","August 8, 2008 (PAL,NA)",,,,
Shinken Zemi Shougaku Kouza: Challenge 5-nensei Perfect Kanji Keisan Master DS,Good-Feel,Benesse,2011 (JP),,,,
Shinreigari: Ghost Hound DS,5pb.,5pb.,"July 31, 2008 (JP)",,,,
Shinseiki Evangelion Ayanami Ikusei Keikaku DS with Asuka Hokan Keikaku,Broccoli,Broccoli,"August 28, 2008 (JP)",,,,
