Christmas Nights,Sonic Team,Sega,"December 12, 1996","November 14, 1996","November 22, 1996"
Civilization: Shin Sekai Shichi Dai Bunmei,MicroProse,Asmik,Unreleased,Unreleased,"May 2, 1997[8]"
Cleopatra Fortune,"Taito, Natsume",Taito,Unreleased,Unreleased,"February 14, 1997"
Clockwork Knight,AM7,Sega,"May 11, 1995","July 8, 1995","December 9, 1994"
Clockwork Knight 2,Sega,Sega,December 1995,"October 27, 1995","July 28, 1995"
Clockwork Kinght: Pepperouchau no Fukubukuro,Sega,Sega,Unreleased,Unreleased,"December 15, 1995"
ClockWerx,Tokuma Shoten,Tokuma Shoten,Unreleased,Unreleased,"August 9, 1996"
Code R,Team Seven,Quintet/ESP,Unreleased,Unreleased,"July 9, 1998"
College Slam,Iguana Entertainment,Acclaim,February 1996,Unreleased,Unreleased
Command & Conquer,Westwood Studios,Westwood Studios,"December 18, 1996","December 6, 1996","April 25, 1997"
Congo The Movie: The Lost City of Zinj,Jumpin' Jack Software,Jumpin' Jack Software,April 1996,Unreleased,Unreleased
Contra: Legacy of War,Appaloosa Interactive,Konami,"May 21, 1997",Unreleased,Unreleased
The Conveni 2: Zenkoku Chain Tenkai da!,Masterpiece,Human,Unreleased,Unreleased,"March 12, 1998"
The Conveni: Ano Machi wo Dokusen Seyo,"Masterpiece, Access",Human,Unreleased,Unreleased,"March 20, 1997"
Corpse Killer: Graveyard Edition,Digital Pictures,Digital Pictures,1995,Unreleased,Unreleased
Cotton 2,Success,Success,Unreleased,Unreleased,"December 4, 1997"
Cotton Boomerang,Success,Success,Unreleased,Unreleased,"October 8, 1998"
Courier Crisis,New Level Software,GT Interactive,"December 20, 1997",1998,"March 26, 1998"
Creature Shock: Special Edition,Interactive Studios,Data East,1996,Unreleased,"January 19, 1996"
CrimeWave,Eidos Interactive,Eidos Interactive,"March 10, 1997","November 8, 1996","June 27, 1997"
Criticom,Kronos Digital Entertainment,Vic Tokai,1997,Unreleased,"February 28, 1997"
Croc: Legend of the Gobbos,Argonaut Games,Fox Interactive,"November 24, 1997","October 10, 1997","March 26, 1998"
Cross Romance: Ai to Mahjong to Hanafuda to,"Digitalware, Nihon Bussan",Nihon Bussan,Unreleased,Unreleased,"October 9, 1997"
Cross Tantei Monogatari: Motsureta Nanatsu no Labyrinth,WorkJam,WorkJam,Unreleased,Unreleased,"June 25, 1998"
The Crow: City of Angels,Gray Matter,Acclaim Entertainment,"March 12, 1997","February 26, 1997","April 25, 1997"
Crows: The Battle Action For Sega Saturn,Athena,Athena,Unreleased,Unreleased,"December 18, 1997"
Crusader: No Remorse,Realtime Associates,Electronic Arts,"December 31, 1996","March 14, 1997",Unreleased
Crypt Killer,KCET,Konami,"April 24, 1997","March 21, 1997","March 7, 1997"
Cube Battler: Anna Mirai-hen,Yanoman,Yanoman,Unreleased,Unreleased,"May 23, 1997"
Cube Battler: Debugger Shou-hen,Yanoman,Yanoman,Unreleased,Unreleased,"February 28, 1997"
Culdcept,OmiyaSoft,NEC Interchannel,Unreleased,Unreleased,"October 30, 1997"
Cyber Doll,Be Top,l'MAX,Unreleased,Unreleased,"August 9, 1996"
Cyber Speedway(Gran ChaserJP),NexTech,Sega,September 1995,December 1995,"May 26, 1995"
Cyberbots: Full Metal Madness,Capcom,Capcom,Unreleased,Unreleased,"March 28, 1997"
Cyberia,Xatrix,Interplay Entertainment,January 1996,"April 19, 1996","February 16, 1996"
D,WARP,Acclaim Entertainment,"March 5, 1996","March 8, 1996","July 28, 1995"
D-Xhird,Takara,Takara,Unreleased,Unreleased,"May 30, 1997"
Daibouken: Saint Elmos no Kiseki,"Soft Office, FAB",Pai,Unreleased,Unreleased,"April 19, 1996"
Daikoukai Jidai II,Koei,Koei,Unreleased,Unreleased,"March 28, 1997"
Daikoukai Jidai Gaiden,Koei,Koei,Unreleased,Unreleased,"January 29, 1998"
Daina Airan (Dinosaur Island),Game Arts,Game Arts,Unreleased,Unreleased,"February 14, 1997"
Daisenryaku Strong Style,SystemSoft,Dual / OZ Club,Unreleased,Unreleased,"June 27, 1997"
Daisuki,Success,Gaga Communications,Unreleased,Unreleased,"July 4, 1997"
Daitoride,Metro,Metro,Unreleased,Unreleased,"June 28, 1996"
Darius II,I.T.L Inc.,Sega (EU)Taito (JP),Unreleased,June 1996,"June 7, 1996"
Darius Gaiden,Aisystem Tokyo,Acclaim (US/EU)Taito (JP),January 1996,March 1996,"December 15, 1995"
Dark Hunter (Ge) Youma no Mori,Koei,Koei,Unreleased,Unreleased,"May 30, 1997"
Dark Hunter (Jou) Youma no Mori,Koei,Koei,Unreleased,Unreleased,"April 4, 1997"
Dark Legend (NA)Outlaws of the Lost Dynasty (EU)Suiko Enbu (JP),Data East,Data East,"October 1, 1995",Unreleased,"August 11, 1995"
Dark Savior,SIMS,Sega,"December 12, 1996","July 20, 1997","August 30, 1996"
Dark Seed,Cyberdreams,Gaga Communications,Unreleased,Unreleased,"July 7, 1995"
Dark Seed II,Cyberdreams,"Bandai Visual, B-Factory",Unreleased,Unreleased,"August 29, 1997"
Darklight Conflict,Rage Software,Electronic Arts,"July 1, 1997",July 1997,Unreleased
Daytona USA,Sega AM2,Sega,"May 11, 1995","July 8, 1995","April 1, 1995"
Daytona USA: Championship Circuit Edition(Daytona USA: Circuit EditionJP),Sega AM2,Sega,"November 21, 1996","November 14, 1996","January 24, 1997"
Daytona USA CCE NetLink Edition,Sega AM-2,Sega,October 1997,Unreleased,Unreleased
Death Crimson,Ecole,Ecole,Unreleased,Unreleased,"August 9, 1996"
Death Throttle: Kakuzetsu Toshi kara no Dasshutsu,MediaQuest,"MediaQuest, Infini Entertainment Technology",Unreleased,Unreleased,"July 12, 1996"
DeathMask,Vantan International Tennou KoujouElectric Dreams,Vantan International Tennou Koujou,Unreleased,Unreleased,"February 16, 1996"
Dead or Alive,Team Ninja,Tecmo,Unreleased,Unreleased,"October 9, 1997"
DecAthlete(Athlete KingsEU),Sega,Sega,"July 17, 1996",September 1996,"July 12, 1996"
Deep Fear,"Sega AM7System SacomSIMSISCOHighwaystar Co., Ltd",Sega,Unreleased,"September 18, 1998","July 16, 1998"
Defcon 5,Millennium Interactive,Data East,1996,June 1996,"May 31, 1996"
Dejig Aqua World,Masudaya,Masudaya,Unreleased,Unreleased,"April 25, 1997"
Dejig Lassen: Art Collection,Masudaya,Masudaya,Unreleased,Unreleased,"December 4, 1997"
Dejig McKnight: Art Collection,Masudaya,Masudaya,Unreleased,Unreleased,"December 4, 1997"
Dejig Tin Toy,Masudaya,Masudaya,Unreleased,Unreleased,"April 25, 1997"
Delisoba Deluxe,Cave,TBS,Unreleased,Unreleased,199?
Denpa Shounen Teki Game,"Hudson SoftFupac Co., Ltd",Hudson Soft,Unreleased,Unreleased,"March 5, 1998"
Densetsu no Ogre Battle,Riverhillsoft,Riverhillsoft,Unreleased,Unreleased,"November 1, 1996"
Densha de Go! EX,Taito,Takara,Unreleased,Unreleased,"October 1, 1998"
Derby Analyst,Media Entertainment,Media Entertainment,Unreleased,Unreleased,"May 30, 1997"
Derby Stallion,ASCII,ASCII,Unreleased,Unreleased,"March 25, 1999"
Deron Dero Dero,Tecmo,Tecmo,Unreleased,Unreleased,"January 26, 1996"
Desire,C's Ware,Imadio,Unreleased,Unreleased,"September 11, 1997"
Destruction Derby,Reflections,Psygnosis,Unreleased,"August 15, 1996","September 20, 1996"
Detana TwinBee Yahoo! Deluxe Pack,Konami,Konami,Unreleased,Unreleased,"September 29, 1995"
Devicereign,Starlight Marry,MediaWorks,Unreleased,Unreleased,"February 25, 1999"
Devil Summoner: Soul Hackers,Atlus,Atlus,Unreleased,Unreleased,"November 13, 1997"
Devil Summoner: Soul Hackers Extra Dungeon,Atlus,Atlus,Unreleased,Unreleased,1997
Dezaemon 2,Athena,Athena,Unreleased,Unreleased,"October 9, 1997"
Die Hard Arcade(Dynamite DekaJP),Sega AM1,Sega,"February 28, 1997","February 27, 1997","January 24, 1997"
Die Hard Trilogy,Probe Entertainment,Fox Interactive,"January 21, 1997","February 28, 1997","January 31, 1997"
Digital Ange: Dennou Tenshi SS,Koga Game Factory,Tokuma Shoten Intermedia,Unreleased,Unreleased,"June 20, 1997"
Digital Dance Mix Vol.1 Namie Amuro,Sega AM2,Sega,Unreleased,Unreleased,"January 10, 1997"
Digital Monster Ver. S: Digimon Tamers,TOSE,Bandai,Unreleased,Unreleased,"September 23, 1998"
Digital Pinball: Last Gladiators,KAZe,Kaze,November 1995,September 1995,"June 23, 1995"
Digital Pinball: Last Gladiators Ver. 9.7,KAZe,Kaze,Unreleased,Unreleased,"September 11, 1997"
Digital Pinball: Necronomicon,KAZe,Kaze,Unreleased,Unreleased,"November 15, 1996"
