Avatar: The Last Airbender – The Burning Earth,THQ,THQ,"October 16, 2007 (NA)",,,,
Away: Shuffle Dungeon,"Artoon, Mistwalker","AQ Interactive, Majesco Entertainment, Virgin Play","October 16, 2008 (JP)",,,,
B Team: Metal Cartoon Squad,Most Wanted Entertainment,Virgin Play,"February 20, 2009 (PAL)",,,,
B-17: Fortress in the Sky,Zoo Digital Publishing,Destination Software,"June 19, 2007 (NA)",,,,
Baby Life,Deep Silver,Deep Silver,"November 28, 2008 (NA)",,,,
Baby Pals,Crave Entertainment,Crave EntertainmentTHQ,"November 19, 2007 (NA)",,,,
Baby Wildkatzen,B-Alive,TREVA Entertainment,"July 21, 2009 (EU)",,,,
Babysitting Mania,iWin,Majesco Entertainment,"September 23, 2008 (NA)",,,,
The Bachelor: The Video Game,Ludia,Warner Bros. Interactive Entertainment,"August 25, 2010 (NA)",,,,
Back at the Barnyard: Slop Bucket Games,THQ,THQ,"October 20, 2008 (NA)",,,,
Backyard Baseball '09,Humongous Entertainment,Atari,"March 25, 2008 (NA)",,,,
Backyard Baseball '10,Humongous Entertainment,Atari,"March 26, 2009 (NA)",,,,
Backyard Basketball,Humongous Entertainment,Atari,"September 25, 2007 (NA)",,,,
Backyard Football,Humongous Entertainment,Atari,"October 23, 2007 (NA)",,,,
Backyard Football '09,Humongous Entertainment,Atari,"October 21, 2008 (NA)",,,,
Backyard Hockey,Mistic Software,Humongous Entertainment,"October 2, 2007 (NA)",,,,
Backyard Sports: Rookie Rush,Powerhead Games,Atari,"October 20, 2010 (NA)",,,,
Backyard Sports: Sandlot Sluggers,Powerhead Games,Atari,"May 25, 2010 (NA)",,,,
The Backyardigans,Take-Two Interactive,2K Play,"September 26, 2010 (NA)",,,,
Bae Yong-joon to Manabu Kankokugo DS,D3,D3 Publisher,"September 19, 2009 (JP)",,,,
Bae Yong-joon to Manabu Kankokugo DS Date Hen,D3,D3 Publisher,"August 26, 2010 (JP)",,,,
Bae Yong-joon to Manabu Kankokugo DS Test Hen,D3,D3 Publisher,"August 26, 2010 (JP)",,,,
Bakegyamon: Ayakashi Fighting,Aspect,Takara Tomy,"March 1, 2007 (JP)",,,,
The Bakudan Shori-Han,Tomcat System,D3 Publisher,"July 10, 2008 (JP)",,,,
Bakugan Battle Brawlers,Now Production,Activision,"October 20, 2009 (NA)",,,,
Bakugan Battle Brawlers: Battle Trainer,Now Production,Activision,"March 23, 2010 (NA)",,,,
Bakugan: Defenders of the Core,Now Production,"Activision, Sega","September 23, 2011 (EU)",,,,
Bakugan: Rise of the Resistance,Activision,Activision,"September 23, 2011 (EU)",,,,
Bakuman: Mangaka e no Michi,Bandai Namco Games,Bandai Namco Games,"December 15, 2011 (JP)",,,,
Bakumatsu Renka: Shinsengumi DS,D3 Publisher,D3 Publisher,"November 27, 2008 (JP)",,,,
Bakusou Dekotora Densetsu Black,Spike,Spike,"March 20, 2008 (JP)",,,,
Balloon Pop,Tommo,UFO Interactive,"October 23, 2009 (NA)",,,,
Balls of Fury,Black Lantern Studios,Destination SoftwareZoo Digital Publishing,"September 9, 2007 (NA)",,,,
Band Hero,Vicarious Visions,RedOctane,"November 3, 2009 (NA)",,,,
Bangai-O Spirits,Treasure,"D3 Publisher, Entertainment Software Publishing","March 19, 2008 (JP)",,,,
Barbie and the Three Musketeers,WayForward Technologies,Activision,"November 3, 2009 (NA)",,,,
Barbie as the Island Princess,Human Soft,Activision,"October 30, 2007 (NA)",,,,
Barbie Dreamhouse Party,Torus Games,Little Orbit,"November 12, 2013 (NA)",,,,
Barbie Fashion Show: An Eye for Style,Cyber Planet Interactive,Activision,"September 23, 2008 (NA)",,,,
Barbie: Groom and Glam Pups,Game Machine Studios,THQ,"November 16, 2010 (NA)",,,,
Barbie Horse Adventures: Riding Camp,"Farmind, Pixel Tales",Activision,"October 21, 2008 (NA)",,,,
Barbie in the 12 Dancing Princesses,WayForward Technologies,Activision,"January 14, 2007 (NA)",,,,
