Bomberman Land,Racjin,EU: Rising Star GamesWW: Hudson Soft,2007-05-08JP,"May 8, 2007","January 29, 2008",Unreleased,"May 14, 2008"
Boogie,EA Montreal,Electronic Arts,2007-08-07NA,Unreleased,"August 7, 2007","August 30, 2007","August 31, 2007"
Boogie Superstar,EA Montreal,Electronic Arts,2008-10-14NA,Unreleased,"October 14, 2009","October 16, 2008","October 17, 2008"
Boom Blox,EA Los Angeles,Electronic Arts,2008-05-06NA,"July 17, 2008","May 6, 2008","May 8, 2008","May 9, 2008"
Boom Blox Bash Party,Amblin EntertainmentEA Los Angeles,Electronic Arts,2009-05-19NA,Unreleased,"May 19, 2009","June 18, 2009","May 29, 2009"
Boot Camp Academy,Zoo Games,Green Screen Games,2009-03-04AU,Unreleased,"May 20, 2010","March 4, 2009","March 11, 2009"
A Boy and His Blob,WayForward Technologies,Majesco Entertainment,2009-10-13NA,Unreleased,"October 13, 2009",Unreleased,"November 6, 2009"
Bratz Girlz Really Rock!,Blitz Games,THQ,2008-10-10EU,Unreleased,"October 13, 2008","October 30, 2008","October 10, 2008"
Bratz Kidz,Neko Entertainment,The Game Factory,2008-10-01EU,Unreleased,"November 11, 2008","October 30, 2008","October 1, 2008"
Bratz: The Movie,Blitz Games,THQ,2007-10-10NA,Unreleased,"October 10, 2007","November 29, 2007","November 30, 2007"
Brave: A Warrior's Tale,Collision Studios,Evolved Games,2008-08-01EU,Unreleased,"August 4, 2009",Unreleased,"August 1, 2008"
Broken Sword: The Shadow of the Templars – Director's Cut,Revolution Software,Ubisoft,2009-03-20EU,Unreleased,"March 24, 2009","March 19, 2009","March 20, 2009"
Brothers in Arms: Earned in Blood[4],Gearbox Software,Ubisoft,2008AU,Unreleased,Unreleased,2008,Unreleased
Brothers in Arms: Road to Hill 30[5],Gearbox Software,Ubisoft,2008AU,Unreleased,Unreleased,2008,2008
Brunswick Pro Bowling,"Point of View, Inc.",NA: Crave EntertainmentPAL: 505 Games,2007-08-21NA,Unreleased,"August 21, 2007","September 27, 2007","September 21, 2007"
Brunswick Zone Cosmic Bowling,CokeM Interactive,Game Mill Entertainment,2010-09-14NA,Unreleased,"September 14, 2010",Unreleased,Unreleased
Buck Fever,N-Fusion Interactive Entertainment,Destineer,2009-11-13NA,Unreleased,"November 13, 2009",Unreleased,Unreleased
Build 'n Race,Icon Games Entertainment,Zoo Games,2009-08-04NA,Unreleased,"August 4, 2009",Unreleased,Unreleased
Build-a-Bear Workshop: A Friend Fur All Seasons,Neko Entertainment,The Game Factory,2008-10-21NA,Unreleased,"October 21, 2008","September 23, 2008","November 7, 2008"
Build-a-Bear Workshop: Friendship Valley,Neko Entertainment,The Game Factory,2010-03-22NA,Unreleased,"March 22, 2010",Unreleased,Unreleased
Bully: Scholarship Edition,Rockstar Toronto,Rockstar Games,2008-03-04NA,Unreleased,"March 4, 2008","May 7, 2008","May 7, 2008"
Burger Bot,Rhino Group,Virtual Play Games,2010-05-18NA,Unreleased,"May 18, 2010",Unreleased,Unreleased
Burger Island,eGames,Destineer,2009-04-28NA,Unreleased,"April 28, 2009",Unreleased,Unreleased
Bust-a-Move Bash!,TaitoHappy Happening,Majesco Entertainment,2007-04-17NA,Unreleased,"April 17, 2007",Unreleased,"May 11, 2007"
Busy Scissors,Little Orbit,Little Orbit,2010-11-16NA,Unreleased,"October 26, 2010",Unreleased,"March 4, 2011"
