Anarcute,"Action, strategy",Anarteam,JP: Digital BardsWW: Plug In Digital,"May 30, 2019",[330][573][574]
Ancestors Legacy,Real-time strategy,Destructive Creations,JP: Destructive CreationsWW: 1C Company,"June 11, 2020",
Ancient Rush 2,Role-playing,Heideland GameWork,Heideland GameWork,"January 18, 2019",[575][576]
Ancient Stories: Gods of Egypt,Puzzle,"Alawar, Panda Games Studio",ChiliDog Interactive,"October 15, 2021",[577][578][579][580]
Angel's Punishment,"Action, Platformer, Puzzle",B & GN Team,Game Nacional,"September 3, 2021",[581][582][583]
Angels of Death,Adventure,Hoshikuzu KRNKRN,Playism,"June 28, 2018",
Angels with Scaly Wings,Visual novel,Radical Phi,Ratalaika Games,TBA,[584][585]
AngerForce: Reloaded,"Shooter, Arcade, Role-playing, Adventure",Screambox Studio,indienova,"April 2, 2019",[586][587][588]
Angelique Luminarise,Visual novel,Ruby Party,Koei Tecmo,"May 20, 2021",
Angry Bunnies: Colossal Carrot Crusade,Third-person shooter,YFC Games,YFC Games,"September 19, 2019",[589][590][591]
Angry Golf,"Action, Arcade, Strategy",Tero Lunkka,Ultimate Games,"March 23, 2021",[592][593]
The Angry Video Game Nerd I & II Deluxe,Platformer,FreakZone Games,Screenwave Media,"October 30, 2020",
Anima: Gate of Memories,"Adventure, Action, Fighting, Role-playing",Anima Project,BLG Publishing,"June 29, 2018",[594][595][596]
Anima: Gate of Memories - The Nameless Chronicles,"Action, Role-playing, Adventure, Fighting",Anima Project,Badland Games,"June 29, 2018",[594][597][598][599]
Animal Bomber,"Platformer, Action, Arcade, Strategy",Piotr Skalski,Piotr Skalski,"March 6, 2021",[185][600][601]
Animal Crossing: New Horizons,Simulation,Nintendo EPD,Nintendo,"March 20, 2020",
Animal Doctor,"Edutainment, Simulation, Role-playing",Caipirinha Games,Toplitz Productions,"March 25, 2021",[602][603][604]
Animal Fight Club,Strategy,Marco Amadei,Corvostudio di Amadei Marco,"July 25, 2019",[605][606][607]
Animal Fun for Toddlers & Kids,Edutainment,winterworks,winterworks,"April 23, 2020",[608][609][610]
Animal Pals Bubble Pop,"Puzzle, Action, Board game, Arcade",Digital Game Group,Digital Game Group,"November 20, 2020",[611][612][613]
Animal Pairs: Matching & Concentration Game For Toddlers & Kids,"Board game, edutainment, puzzle",winterworks,winterworks,"June 4, 2020",[614][615][616]
Animal Puzzle: Preschool Learning Game for Kids and Toddlers,"Edutainment, Puzzle, Board game",McPeppergames,McPeppergames,"September 2, 2021",[39][617][618][619]
Animal Rivals,"Action, platformer",Blue Sunset Games,Blue Sunset Games,"July 18, 2018",[620][621][622][623]
Animal Super Squad,"Adventure, Action",DoubleMoose,DoubleMoose,"May 1, 2018",[624][625][626]
Animal Up!,Arcade,"Hook Games, FobTi Interactive",Nestor Yavorskyy,"May 22, 2020",[627][628][629]
Animals for Toddlers,Edutainment,winterworks,winterworks,"September 24, 2020",[630][631][632]
AnimaLudo,"Board game, Puzzle, Party, Strategy",Marionette Games,Prison Games,"June 25, 2021",[633][634][635][636]
Animated Jigsaws: Beautiful Japanese Scenery,Puzzle,Dico,Rainy Frog,"April 5, 2018",[637][638][639][640]
Animated Jigsaws: Japanese Women,Puzzle,Dico,Rainy Frog,"October 4, 2018",[641][642][643][644]
Animated Jigsaws: Wild Animals,"Puzzle, Board game",Dico,Rainy Frog,"December 20, 2018",[645][646][647][648]
Anime Studio Story,Simulation,Kairosoft,Kairosoft,"January 16, 2020",[649][650][651][652]
Animus: Harbinger,"Action, Role-playing, Arcade, Fighting",Tenbirds,Troooze,"November 7, 2019",[653][654][655][656]
