Battlefield 4,EA Digital Illusions CE,"October 31, 2013","November 1, 2013","October 29, 2013",,[113]
Battlefield Hardline,EA Digital Illusions CE,"March 29, 2015","March 20, 2015","March 17, 2015",,[114]
Battlefield: Bad Company,EA Digital Illusions CE,"August 28, 2008","June 27, 2008","June 23, 2008",,[115]
Battlefield: Bad Company 2,EA Digital Illusions CE,"March 11, 2010","March 5, 2010","March 2, 2010",,[116]
Battle Princess of Arcadias,ApolloSoft,"June 17, 2014",Unreleased,Unreleased,,[117]
Battleship,Double Helix Games,Unreleased,"April 20, 2012","May 15, 2012",,[118]
Bayonetta,PlatinumGames,"October 29, 2009","January 8, 2010","January 5, 2010",,[119]
Beat Hazard Ultra,Cold Beam Games,Unreleased,"October 19, 2011","October 18, 2011",,
Beat Sketcher,Japan Studio,"October 21, 2010",Unreleased,"December 1, 2010",M,[120]
Beautiful Katamari,Bandai Namco Entertainment,Unreleased,Unreleased,Unreleased,C,[121]
The Beatles: Rock Band,Harmonix Music Systems,Unreleased,"September 9, 2009","September 9, 2009",,[122]
Beer Pong!,JV Games,Unreleased,Unreleased,"October 22, 2013",,
Beijing 2008,Eurocom,"July 31, 2008","June 27, 2008","July 8, 2008",,[123]
Bejeweled 2,PopCap Games,Unreleased,"May 14, 2009","January 29, 2009",,[124]
Bejeweled 3,PopCap Games,Unreleased,"April 27, 2012","April 27, 2012",,[125]
Bellator: MMA Onslaught,Kung Fu Factory,Unreleased,Unreleased,"July 3, 2012",,
Ben 10: Galactic Racing,D3 Publisher,Unreleased,"November 25, 2011","November 25, 2011",,[126]
Ben 10: Omniverse,D3 Publisher,Unreleased,"November 13, 2012","November 13, 2012",,[127]
Ben 10: Omniverse 2,D3 Publisher,Unreleased,"November 22, 2013","November 22, 2013",,[128]
Ben 10 Alien Force: Vilgax Attacks,D3 Publisher,Unreleased,Unreleased,Unreleased,C,
Ben 10 Ultimate Alien: Cosmic Destruction,D3 Publisher,Unreleased,"October 29, 2010","October 29, 2010",,[129]
Bentley's Hackpack,Sanzaru Games,Unreleased,"February 6, 2013","February 5, 2013",,
Beowulf: The Game,Ubisoft Shanghai,Unreleased,"November 23, 2007","November 13, 2007",,[130]
"Best of Arcade Games (Air Hockey, Brick Breaker, Bubble Buster, Tetraminos)",Bigben Interactive,Unreleased,"January 21, 2015","January 20, 2015",,
"Best of Board Games (Chess, Mahjong, Solitaire)",Bigben Interactive,Unreleased,Unreleased,"October 14, 2014",,
Best of PlayStation Network Vol. 1,SCEA,Unreleased,"June 25, 2013","June 25, 2013",,[131]
Beyond Good & Evil HD,Ubisoft Shanghai,Unreleased,"June 8, 2011","June 28, 2011",,
Beyond the Future: Fix the Time Arrows,M2,"October 12, 2011",Unreleased,Unreleased,,[132]
Beyond: Two Souls,Quantic Dream,"October 17, 2013","October 11, 2013","October 8, 2013",,[133]
Bikkuri Pachinko: Ashita no Joe – Kyoraku Collection Vol.1,Kyoraku Sangyou Holdings,"April 29, 2011",Unreleased,Unreleased,,[citation needed]
Big Sky Infinity,Boss Baddie,Unreleased,"December 12, 2012","December 11, 2012",,
Bionic Commando,GRIN,"June 25, 2009","May 22, 2009","May 19, 2009",,[134]
Bionic Commando Rearmed,GRIN,"August 13, 2008","August 28, 2008","August 14, 2008",,[135]
Bionic Commando Rearmed 2,Fatshark,Unreleased,"February 2, 2011","February 1, 2011",,
Binary Domain,Sega,"February 16, 2012","February 24, 2012","February 28, 2012",,[136]
BioShock,Irrational Games / 2K Marin,"December 25, 2008","October 17, 2008","October 21, 2008",,[137]
BioShock 2,2K Marin / Digital Extremes / 2K Australia / 2K China / Arkane Studios,"March 4, 2010","February 9, 2010","February 9, 2010",,[138]
BioShock Infinite,Irrational Games,"March 26, 2013","March 26, 2013","March 26, 2013",M,[139]
Birds of Steel,Gaijin Entertainment,"March 8, 2012","March 16, 2012","March 13, 2012",,[140]
Bit.Trip Presents...Runner2: Future Legend of Rhythm Alien,Gaijin Games,Unreleased,"August 21, 2013","March 5, 2013",,
Black Knight Sword,Grasshopper Manufacture,"January 10, 2013",Unreleased,"December 11, 2012",,
Blacklight: Tango Down,Zombie Studios,Unreleased,"November 3, 2010","October 26, 2010",,
BlackSite: Area 51,Midway Studios Austin,Unreleased,"March 7, 2008","December 10, 2007",,[141]
Blade Arcus from Shining EX,Sega,"November 26, 2015",Unreleased,Unreleased,,[142]
Blade Kitten,Krome Studios,Unreleased,"September 22, 2010","September 20, 2010",,
Blades of Time,Gaijin Entertainment,"March 8, 2012","March 16, 2012","March 6, 2012",,[143]
Bladestorm: Nightmare,Koei Tecmo Games,"January 29, 2015","April 15, 2015","March 17, 2015",,[144]
Bladestorm: The Hundred Years' War,Omega Force,"August 30, 2007","November 2, 2007","November 6, 2007",,[145]
Blast Factor[146],Bluepoint Games,"November 11, 2006","March 23, 2007","November 17, 2006",,
BlazBlue: Calamity Trigger,Arc System Works,"June 25, 2009","April 2, 2010","June 30, 2009",,[147]
BlazBlue: Central Fiction,Arc System Works,"October 6, 2016","November 4, 2016","November 1, 2016",,[148]
BlazBlue: Continuum Shift,Arc System Works,"July 1, 2010","December 3, 2010","July 27, 2010",,[149]
BlazBlue: Continuum Shift Extend,Arc System Works,"December 17, 2011","February 22, 2012","February 14, 2012",,[150]
BlazBlue: Chrono Phantasma,Arc System Works,"November 21, 2013","April 23, 2014","March 25, 2014",,[151]
BlazBlue: Chrono Phantasma Extend,Arc System Works,"April 23, 2015","October 23, 2015","June 30, 2015",,[152]
BlazeRush,Targem Games,Unreleased,"October 29, 2014","November 4, 2014",,
Blazing Angels: Squadrons of WWII,Ubisoft Bucharest,"July 5, 2007","March 23, 2007","December 12, 2006",,[153]
Blazing Angels 2: Secret Missions of WWII,Ubisoft Bucharest,"March 19, 2008","November 23, 2007","November 6, 2007",,[154]
Bleach: Soul Resurrección,Japan Studio,"June 23, 2011","September 16, 2011","August 2, 2011",,[155]
Blitz: The League II,Midway Games,Unreleased,"October 24, 2008","October 13, 2008",,[156]
Blokus,Gameloft,"January 12, 2011","December 22, 2010","December 21, 2010",,
Blood Drive,Sidhe,Unreleased,"November 19, 2010","November 2, 2010",,[157]
Blood Knights,Dtp entertainment,Unreleased,"June 26, 2013","November 19, 2013",,
Blood of the Werewolf,Scientifically Proven,Unreleased,Unreleased,"October 28, 2014",,
BloodBath: Fight for your life,UIG,Unreleased,"May 2, 2014",Unreleased,,[158]
BloodRayne: Betrayal,WayForward Technologies,"May 1, 2014","September 7, 2011","September 6, 2011",,
Blue-Collar Astronaut,Mutated Software,Unreleased,Unreleased,"March 14, 2017",,
Blue Toad Murder Files,Relentless Software,Unreleased,"December 17, 2009","March 25, 2010",M,[159]
Blur,Bizarre Creations,"July 22, 2010","May 28, 2010","May 25, 2010",,[160]
Bodycount,Codemasters Studios Guildford,Unreleased,"September 2, 2011","August 30, 2011",,[161]
Boku no Natsuyasumi 3,Millennium Kitchen,"December 17, 2011",Unreleased,Unreleased,,[162]
Bolt,Avalanche Software,Unreleased,"February 13, 2009","November 18, 2008",,[163]
Bomberman Live: Battlefest,Hudson Soft,Unreleased,Unreleased,Unreleased,C,
Bomberman Ultra,Hudson Soft,"June 18, 2009","September 17, 2009","June 11, 2009",E,[164]
Bonk: Brink of Extinction,Pi Studios,Unreleased,Unreleased,Unreleased,C,[165]
The Book of Unwritten Tales 2,KING Art,Unreleased,"September 18, 2015","September 18, 2015",,[166]
Borderlands,Gearbox Software,"February 10, 2010","October 23, 2009","October 20, 2009",,[167]
Borderlands 2,Gearbox Software,"October 25, 2012","September 21, 2012","September 18, 2012",,[168]
Borderlands: The Pre-Sequel!,2K Australia,"October 29, 2014","October 17, 2014","October 14, 2014",,[169]
Bound by Flame,Spiders,Unreleased,"May 9, 2014","May 9, 2014",,[170]
Braid,Hothead Games,"September 9, 2010","December 17, 2009","November 12, 2009",,[171]
Brain Challenge,Gameloft,Unreleased,"December 5, 2008","December 4, 2008",,[172]
Brave: The Video Game,Behaviour Interactive,Unreleased,"July 27, 2012","June 19, 2012",M,[173]
Brink,Splash Damage,"July 14, 2011","May 13, 2011","May 10, 2011",,[174]
Brothers: A Tale of Two Sons,Starbreeze Studios,"January 28, 2014","September 4, 2013","September 3, 2013",,
Brothers in Arms: Furious 4,Gearbox Software,Unreleased,Unreleased,Unreleased,C,[175]
Brothers in Arms: Hell's Highway,Gearbox Software,"November 27, 2008","September 26, 2008","September 23, 2008",,[176]
Brunswick Pro Bowling,FarSight Studios,Unreleased,"April 8, 2011","September 22, 2010",M,[177]
Brütal Legend,Double Fine Productions,Unreleased,"October 16, 2009","October 13, 2009",,[178]
Bulletstorm,People Can Fly,"February 24, 2011","February 25, 2011","February 22, 2011",,[179]
BurgerTime World Tour,Frozen Codebase,Unreleased,"March 28, 2012","November 15, 2011",,
Burn Zombie Burn,Doublesix,Unreleased,"March 26, 2009","March 26, 2009",,[180]
Burnout Crash!,Criterion Games,"September 21, 2011","September 21, 2011","September 20, 2011",,
Burnout Paradise,Criterion Games,"February 21, 2008","January 25, 2008","January 22, 2008",E,[181]
Buzz!: Brain of the World,Relentless Software,Unreleased,"March 26, 2009",Unreleased,,[182]
Buzz! Junior: Dino Den,Cohort Studios,Unreleased,"December 10, 2009",Unreleased,,[183]
