Defender II,Vid Kidz,HAL America,Unreleased,July 1988,Unreleased
Defender of the Crown,Beam Software,Ultra Games,Palcom Software,July 1989,"July 25, 1991"
Defenders of Dynatron City,Lucasfilm Games,JVC Musical Industries,Unreleased,July 1992,Unreleased
Déjà Vu,Kemco,Kemco*Seika,Kemco,December 1990,"September 24, 1992"
Demon Sword,TOSE,Taito,Unreleased,January 1990,Unreleased
Desert Commander,Kemco,Kemco*Seika,Unreleased,June 1989,Unreleased
Destination Earthstar,Imagineering,Acclaim Entertainment,Unreleased,February 1990,Unreleased
Destiny of an Emperor,Capcom,Capcom,Unreleased,September 1990,Unreleased
Devil World,Nintendo Research & Development 1,Unreleased,Nintendo,Unreleased,"July 15, 1987"
Dick Tracy,Realtime Associates,Bandai,Unreleased,August 1990,Unreleased
Die Hard,Pack-In-Video,Activision,Activision,January 1992,January 1992
Dig Dug II: Trouble in Paradise,Namco,Bandai,Unreleased,December 1989,Unreleased
Digger T. Rock: Legend of the Lost City,Rare,Milton Bradley Company,Milton Bradley Company,December 1990,1991
Dirty Harry,Gray Matter Inc.,Mindscape,Unreleased,December 1990,Unreleased
Disney's Aladdin,NMS Software,Unreleased,Virgin Interactive,Unreleased,"December 31, 1994"
Disney's Beauty and the Beast,Probe Software,Unreleased,Hudson Soft,Unreleased,1994
Disney's Darkwing Duck,Capcom,Capcom,Capcom,June 1992,"December 9, 1993"
Disney's The Jungle Book,"Eurocom, Virgin Interactive",Virgin Interactive,Virgin Interactive,August 1994,"August 25, 1994"
Disney's The Lion King,Dark Technologies,Unreleased,Virgin Interactive,Unreleased,"May 25, 1995"
Disney's The Little Mermaid,Capcom,Capcom,Unreleased,July 1991,Unreleased
Donkey Kong,"Nintendo Research & Development 1, Nintendo Research & Development 2",Nintendo,Nintendo,"June 1, 1986","October 15, 1986"
Donkey Kong 3,Nintendo Research & Development 1,Nintendo,Nintendo,"June 6, 1986",September 1987
Donkey Kong Classics,Nintendo,Nintendo,Nintendo,October 1988,"August 10, 1989"
Donkey Kong Jr.,"Nintendo Research & Development 1, Nintendo Research & Development 2",Nintendo,Nintendo,"June 1, 1986",1987
Donkey Kong Jr. Math,Nintendo Research & Development 2,Nintendo,Nintendo,"June 6, 1986",September 1986
Double Dare,Rare,GameTek,Unreleased,April 1990,Unreleased
Double Dragon,Technōs Japan,Tradewest,Nintendo,June 1988,"September 28, 1990"
Double Dragon II: The Revenge,Technōs Japan,Acclaim Entertainment,Acclaim Entertainment,January 1990,August 1990
Double Dragon III: The Sacred Stones,Technōs Japan,Acclaim Entertainment,Acclaim Entertainment,February 1991,January 1991
Double Dribble,Konami,Konami,Konami,September 1987,1988
Dr. Chaos,"Marionette, SRS",FCI,Unreleased,November 1988,Unreleased
Dr. Jekyll and Mr. Hyde,Advance Communication Company,Bandai,Unreleased,April 1989,Unreleased
Dr. Mario,Nintendo Research & Development 1,Nintendo,Nintendo,"October 14, 1990","June 27, 1991"
Dragon Fighter,Natsume,SOFEL,Unreleased,January 1992,Unreleased
Dragon Power (NA)Dragon Ball (EU),TOSE,Bandai,Bandai,March 1988,1990
Dragon Spirit: The New Legend,Now Production,Bandai,Unreleased,June 1990,Unreleased
Dragon Warrior,Chunsoft,Nintendo,Unreleased,August 1989,Unreleased
Dragon Warrior II,Chunsoft,Enix,Unreleased,September 1990,Unreleased
Dragon Warrior III,Chunsoft,Enix,Unreleased,March 1992,Unreleased
Dragon Warrior IV,Chunsoft,Enix,Unreleased,October 1992,Unreleased
Dragon's Lair,MotiveTime,CSG Imagesoft,Elite Systems,December 1990,"January 3, 1992"
Dropzone,Eurocom,Unreleased,Mindscape,Unreleased,1992
Duck Hunt,"Nintendo Research & Development 1, Intelligent Systems",Nintendo,Nintendo,"October 18, 1985","August 15, 1987"
DuckTales[a],Capcom,Capcom,Capcom,September 1989,"December 14, 1990"
DuckTales 2,Make Software,Capcom,Capcom,June 1993,"November 18, 1993"
Dungeon Magic: Sword of the Elements,Natsume,Taito,Unreleased,July 1990,Unreleased
Dusty Diamond's All-Star Softball,TOSE,Brøderbund,Unreleased,July 1990,Unreleased
Dynowarz: Destruction of Spondylus,Advance Communication Company,Bandai,Unreleased,April 1990,Unreleased
Eggsplode! (part of Short Order / Eggsplode!),TOSE,Nintendo,Unreleased,December 1989,Unreleased
Elevator Action,Micronics,Taito,Unreleased,August 1987,Unreleased
Eliminator Boat Duel,Sculptured Software,Electro Brain,Storm,November 1991,"April 29, 1993"
Elite,David BrabenIan Bell,Unreleased,Imagineer,Unreleased,1991
Excitebike,Nintendo Research & Development 1,Nintendo,Nintendo,"October 18, 1985","September 1, 1986"
F-15 Strike Eagle,MicroProse,MicroProse,MicroProse,February 1992,"February 18, 1993"
F-117A Stealth Fighter,MicroProse,MicroProse,Unreleased,December 1992,Unreleased
Family Feud,Beam Software,GameTek,Unreleased,May 1991,Unreleased
Faria: A World of Mystery and Danger,Game Arts,Nexoft,Unreleased,June 1991,Unreleased
Faxanadu,Hudson Soft,Nintendo,Nintendo,August 1989,"December 28, 1990"
Felix the Cat,Shimada Kikaku,Hudson Soft,Hudson Soft,October 1992,1992
Ferrari Grand Prix Challenge,System 3,Acclaim Entertainment,Acclaim Entertainment,June 1992,June 1992
Fester's Quest,Sunsoft,Sunsoft,Sunsoft,September 1989,"September 14, 1990"
Final Fantasy,Square,Nintendo,Unreleased,May 1990,Unreleased
Fire 'n Ice (NA)Solomon's Key 2 (EU),Tecmo,Tecmo,Tecmo,March 1993,"March 18, 1993"
Fisher-Price: Firehouse Rescue,Imagineering,GameTek,Unreleased,March 1992,Unreleased
Fisher-Price: I Can Remember,Beam Software,GameTek,Unreleased,March 1990,Unreleased
Fisher-Price: Perfect Fit,Beam Software,GameTek,Unreleased,March 1990,Unreleased
Fist of the North Star,Shouei System,Taxan,Unreleased,April 1989,Unreleased
Flight of the Intruder (NA)Phantom Air Mission (EU),Imagineering,Mindscape,Activision,May 1991,1991
The Flintstones: The Rescue of Dino & Hoppy,"Taito, Sol",Taito,Taito,December 1991,"April 30, 1992"
The Flintstones: Surprise at Dinosaur Peak,"Taito, Sol",Taito,Taito,August 1994,"February 24, 1994"
Flying Dragon: The Secret Scroll,Culture Brain,Culture Brain,Unreleased,August 1989,Unreleased
Flying Warriors,Culture Brain,Culture Brain,Unreleased,February 1991,Unreleased
Formula 1 Sensation,Konami,Unreleased,Palcom Software,Unreleased,1993
Formula One: Built to Win,Winkysoft,SETA,Unreleased,November 1990,Unreleased
Fox's Peter Pan and the Pirates: The Revenge of Captain Hook,"Richard Seaborne, Equilibrium",THQ,Unreleased,January 1991,Unreleased
Frankenstein: The Monster Returns,TOSE,Bandai,Unreleased,July 1991,Unreleased
Freedom Force,Sunsoft,Sunsoft,Unreleased,April 1988,Unreleased
Friday the 13th,Atlus,LJN,Unreleased,February 1989,Unreleased
Fun House,Realtime Associates,Hi Tech Expressions,Unreleased,January 1991,Unreleased
G.I. Joe: A Real American Hero,KID,Taxan,Unreleased,January 1991,Unreleased
G.I. Joe: The Atlantis Factor,KID,Capcom,Unreleased,March 1992,Unreleased
Galaga: Demons of Death (NA)Galaga (EU),Namco,Bandai,Bandai,September 1988,1988
Galaxy 5000,Activision,Activision,Activision,February 1991,February 1991
Gargoyle's Quest II: The Demon Darkness,Capcom,Capcom,Capcom,October 1992,"June 17, 1993"
Gauntlet[b],Tengen,Tengen,Unreleased,July 1988,Unreleased
Gauntlet II,Eastridge Technology,Mindscape,Mindscape,September 1990,"April 25, 1991"
Gemfire,Koei,Koei,Unreleased,March 1992,Unreleased
Genghis Khan,Koei,Koei,Unreleased,January 1990,Unreleased
George Foreman's KO Boxing,Beam Software,Acclaim Entertainment,Acclaim Entertainment,December 1992,December 1992
Ghostbusters,Bits Corporation,Activision,Unreleased,October 1988,Unreleased
Ghostbusters II,Imagineering,Activision,Activision,April 1990,"December 7, 1990"
Ghosts 'n Goblins (NA)Ghost 'n Goblins (EU),Micronics,Capcom,Capcom,"November 1, 1986","March 23, 1989"
Ghoul School,Imagineering,Electro Brain,Unreleased,March 1992,Unreleased
Goal!,TOSE,Jaleco,Jaleco,October 1989,"March 24, 1994"
Goal! Two (NA/ES)Eric Cantona Football Challenge Goal! 2 (FR),TOSE,Jaleco,Jaleco,November 1992,1992
Godzilla: Monster of Monsters,Compile,Toho,Toho,October 1989,1991
Godzilla 2: War of the Monsters,???,Toho,Unreleased,February 1992,Unreleased
Golf,Nintendo,Nintendo,Nintendo,"October 18, 1985","November 15, 1986"
Golf Grand Slam,TOSE,Atlus,Unreleased,November 1991,Unreleased
Golgo 13: Top Secret Episode,Vic Tokai,Vic Tokai,Unreleased,September 1988,Unreleased
The Goonies II,Konami,Konami,Konami,November 1987,"December 19, 1988"
Gotcha! The Sport!,Atlus,LJN,Unreleased,November 1987,Unreleased
Gradius,Konami,Konami,Konami,December 1986,"November 30, 1988"
The Great Waldo Search,Radiance,THQ,Unreleased,December 1992,Unreleased
Greg Norman's Golf Power,Gremlin Interactive,Virgin Interactive,Unreleased,July 1992,Unreleased
Gremlins 2: The New Batch,Sunsoft,Sunsoft,Sunsoft,October 1990,"February 21, 1991"
The Guardian Legend,Compile,Brøderbund,Nintendo,April 1989,"February 20, 1992"
Guerrilla War,SNK,SNK,SNK,June 1989,1989
Gumshoe,Nintendo Research & Development 1,Nintendo,Nintendo,August 1986,May 1988
Gun-Nac,Compile,ASCII,Unreleased,September 1991,Unreleased
Gun.Smoke,Capcom,Capcom,Capcom,February 1988,"February 23, 1988"
Gyromite,Nintendo Research & Development 1,Nintendo,Nintendo,"October 18, 1985","September 1, 1986"
Gyruss,Konami,Ultra Games,Unreleased,February 1989,Unreleased
Hammerin' Harry,Tamtex,Unreleased,Irem,Unreleased,1992
Harlem Globetrotters,Softie,GameTek,Unreleased,March 1991,Unreleased
Hatris,Bullet-Proof Software,Bullet-Proof Software,Unreleased,April 1992,Unreleased
Heavy Barrel,Data East,Data East,Unreleased,March 1990,Unreleased
Heavy Shreddin' (NA)Snowboard Challenge (EU),Imagineering,Parker Brothers,Activision,June 1990,1990
High Speed,Rare,Tradewest,Tradewest,July 1991,"April 28, 1994"
Hogan's Alley,"Nintendo Research & Development 1, Intelligent Systems",Nintendo,Nintendo,"October 18, 1985","December 15, 1987"
Hollywood Squares,Rare,GameTek,Unreleased,September 1989,Unreleased
Home Alone,Bethesda Softworks,THQ,Unreleased,October 1991,Unreleased
Home Alone 2: Lost in New York,Imagineering,THQ,THQ,October 1992,1992
Hook,Painting by Numbers,Sony Imagesoft,Ocean Software,April 1992,1992
Hoops,Aicom,Jaleco,Jaleco,June 1989,1989
Hudson Hawk,Special FX,Sony Imagesoft,Ocean Software,February 1992,1992
The Hunt for Red October,Beam Software,Hi Tech Expressions,Hi Tech Expressions,January 1991,1992
Hydlide,T&E Soft,FCI,Unreleased,June 1989,Unreleased
Ice Climber,Nintendo Research & Development 1,Nintendo,Nintendo,"October 18, 1985","September 1, 1986"
Ice Hockey,Nintendo Research & Development 2,Nintendo,Nintendo,March 1988,"April 15, 1988"
Ikari Warriors,Micronics,SNK,SNK,May 1987,"August 10, 1989"
Ikari Warriors II: Victory Road,Micronics,SNK,Unreleased,April 1988,Unreleased
Ikari III: The Rescue,SNK,SNK,Unreleased,February 1991,Unreleased
Image Fight,Lenar,Irem,Unreleased,June 1990,Unreleased
The Immortal,Sandcastle,Electronic Arts,Unreleased,November 1990,Unreleased
The Incredible Crash Dummies,Software Creations,LJN,LJN,August 1994,"October 21, 1993"
Indiana Jones and the Last Crusade,Software Creations,Taito,Unreleased,March 1991,Unreleased
Indiana Jones and the Last Crusade (NA)Indy: Indiana Jones and the Last Crusade (EU),NMS Software,Ubisoft,Ubisoft,December 1993,1993
Indiana Jones and the Temple of Doom[b],Tengen,Mindscape,Unreleased,December 1988,Unreleased
Infiltrator,Eastridge Technology,Mindscape,Unreleased,January 1990,Unreleased
International Cricket,Beam Software,Unreleased,Laser Beam Entertainment,Unreleased,1992
